SID,entry,evaluation,replacement
10730,pandabear,REPLACE,panda bear
10730,snowleapord,EXCLUDE,EXCLUDE
10730,shark,FOUND,shark
10751,dog,FOUND,dog
10751,cat,FOUND,cat
10751,horse,FOUND,horse
10751,chicken,FOUND,chicken
10751,goat,FOUND,goat
10751,lamb,FOUND,lamb
10751,llama,FOUND,llama
10751,giraffe,FOUND,giraffe
10751,elephant,FOUND,elephant
10751,lion,FOUND,lion
10751,tiger,FOUND,tiger
10751,bear,FOUND,bear
10751,snake,FOUND,snake
10751,ape,FOUND,ape
10751,monkey,FOUND,monkey
10751,peacock,FOUND,peacock
10751,cockatoo,FOUND,cockatoo
10751,parrot,FOUND,parrot
10751,bird,FOUND,bird
10751,panda,FOUND,panda
10751,tiger,FOUND,tiger
10751,bug,FOUND,bug
10751,poodle,FOUND,poodle
10751,labrador,FOUND,labrador
10751,goldenretriever,REPLACE,golden retriever
10751,westie,FOUND,westie
10751,bostonterrier,REPLACE,boston terrier
10790,dog,FOUND,dog
10790,cat,FOUND,cat
10790,hamster,FOUND,hamster
10790,gerbil,FOUND,gerbil
10790,fish,FOUND,fish
10790,elephant,FOUND,elephant
10790,lion,FOUND,lion
10790,tiger,FOUND,tiger
10790,bear,FOUND,bear
10790,dolphin,FOUND,dolphin
10790,horse,FOUND,horse
10790,donkey,FOUND,donkey
10790,cow,FOUND,cow
10790,sheep,FOUND,sheep
10790,lamb,FOUND,lamb
10790,hippopotamus,FOUND,hippopotamus
10790,aligator,REPLACE,alligator
10790,crocodile,FOUND,crocodile
10790,leopard,FOUND,leopard
10806,dog,FOUND,dog
10806,cat,FOUND,cat
10806,bird,FOUND,bird
10806,mouse,FOUND,mouse
10806,squirrel,FOUND,squirrel
10806,chipmunk,FOUND,chipmunk
10806,goose,FOUND,goose
10806,swan,FOUND,swan
10806,duck,FOUND,duck
10806,chicken,FOUND,chicken
10806,goat,FOUND,goat
10806,pig,FOUND,pig
10806,horse,FOUND,horse
10806,cow,FOUND,cow
10806,lion,FOUND,lion
10806,tiger,FOUND,tiger
10806,bear,FOUND,bear
10806,cougar,FOUND,cougar
